t,x,y
4.458333333E-1,1.438438535E3,-9.792755183E1
4.500000000E-1,1.435195997E3,-9.831990016E1
4.541666667E-1,1.431503221E3,-9.899980570E1
4.583333333E-1,1.428156363E3,-9.934712015E1
4.625000000E-1,1.424549616E3,-1.002457659E2
4.666666667E-1,1.420883238E3,-1.007755479E2
4.708333333E-1,1.416759761E3,-1.015956944E2
4.750000000E-1,1.412815428E3,-1.023703657E2
4.791666667E-1,1.408506543E3,-1.030293526E2
4.833333333E-1,1.404605573E3,-1.037867928E2
4.875000000E-1,1.400299119E3,-1.043623741E2
4.916666667E-1,1.396315530E3,-1.049819938E2
4.958333333E-1,1.391647570E3,-1.056232562E2
5.000000000E-1,1.387399058E3,-1.062175626E2
5.041666667E-1,1.382537448E3,-1.070524624E2
5.083333333E-1,1.378210462E3,-1.074754386E2
5.125000000E-1,1.373278561E3,-1.081011184E2
5.166666667E-1,1.368401058E3,-1.086910037E2
5.208333333E-1,1.363255742E3,-1.095891092E2
5.250000000E-1,1.358585428E3,-1.105198673E2
5.291666667E-1,1.353318665E3,-1.112850963E2
5.333333333E-1,1.348370285E3,-1.119591462E2
5.375000000E-1,1.342885724E3,-1.129175366E2
5.416666667E-1,1.337552736E3,-1.137311649E2
5.458333333E-1,1.332099667E3,-1.144175009E2
5.500000000E-1,1.326750420E3,-1.151316689E2
5.541666667E-1,1.320880783E3,-1.158076027E2
5.583333333E-1,1.315528560E3,-1.165790387E2
5.625000000E-1,1.310171587E3,-1.173661354E2
5.666666667E-1,1.304505146E3,-1.181499125E2
5.708333333E-1,1.298549011E3,-1.190964491E2
5.750000000E-1,1.292652012E3,-1.200488666E2
5.791666667E-1,1.286520989E3,-1.209193394E2
5.833333333E-1,1.280738082E3,-1.217068514E2
5.875000000E-1,1.274305801E3,-1.222866406E2
5.916666667E-1,1.268260749E3,-1.229228253E2
5.958333333E-1,1.261794166E3,-1.238342108E2
6.000000000E-1,1.255984146E3,-1.242777760E2
6.041666667E-1,1.248913760E3,-1.251022965E2
6.083333333E-1,1.242960853E3,-1.257511270E2
6.125000000E-1,1.235767380E3,-1.265797166E2
6.166666667E-1,1.229537550E3,-1.276408669E2
6.208333333E-1,1.222280034E3,-1.285126837E2
6.250000000E-1,1.216283574E3,-1.294312450E2
6.291666667E-1,1.208669664E3,-1.303426382E2
6.333333333E-1,1.202265425E3,-1.308726915E2
6.375000000E-1,1.194817545E3,-1.319881632E2
6.416666667E-1,1.188089897E3,-1.328358101E2
6.458333333E-1,1.180369827E3,-1.340977708E2
6.500000000E-1,1.173827105E3,-1.348988832E2
6.541666667E-1,1.165995615E3,-1.358972045E2
6.583333333E-1,1.158763188E3,-1.366108132E2
6.625000000E-1,1.151246744E3,-1.372223117E2
6.666666667E-1,1.144345244E3,-1.379701014E2
6.708333333E-1,1.136752027E3,-1.389395361E2
6.750000000E-1,1.129685967E3,-1.397836681E2
6.791666667E-1,1.122123983E3,-1.401869239E2
6.833333333E-1,1.114860117E3,-1.409640233E2
6.875000000E-1,1.106919296E3,-1.419199994E2
6.916666667E-1,1.099876968E3,-1.422943389E2
6.958333333E-1,1.091795511E3,-1.428568761E2
7.000000000E-1,1.084235979E3,-1.435120968E2
7.041666667E-1,1.076381314E3,-1.441965713E2
7.083333333E-1,1.068688613E3,-1.448043418E2
7.125000000E-1,1.060721649E3,-1.453860315E2
7.166666667E-1,1.052786175E3,-1.457787806E2
7.208333333E-1,1.044608923E3,-1.462939992E2
7.250000000E-1,1.036555115E3,-1.466794248E2
7.291666667E-1,1.028385986E3,-1.471956078E2
7.333333333E-1,1.020411092E3,-1.478533066E2
7.375000000E-1,1.012374318E3,-1.482819302E2
7.416666667E-1,1.004099792E3,-1.487370432E2
7.458333333E-1,9.959964867E2,-1.494050860E2
7.500000000E-1,9.874479594E2,-1.500345064E2
7.541666667E-1,9.788180400E2,-1.506819197E2
7.583333333E-1,9.707898147E2,-1.513735951E2
7.625000000E-1,9.622821499E2,-1.519573280E2
7.666666667E-1,9.540866780E2,-1.527544879E2
7.708333333E-1,9.459016872E2,-1.533918809E2
7.750000000E-1,9.375881640E2,-1.540015761E2
7.791666667E-1,9.291714070E2,-1.543966720E2
7.833333333E-1,9.212031314E2,-1.549173129E2
7.875000000E-1,9.129694096E2,-1.554853374E2
7.916666667E-1,9.045128137E2,-1.559171469E2
7.958333333E-1,8.962599023E2,-1.562153292E2
8.000000000E-1,8.879891390E2,-1.567265028E2
8.041666667E-1,8.794454707E2,-1.570811644E2
8.083333333E-1,8.711894594E2,-1.576030407E2
8.125000000E-1,8.627112618E2,-1.581319331E2
8.166666667E-1,8.540264398E2,-1.585325857E2
8.208333333E-1,8.455482204E2,-1.587757084E2
8.250000000E-1,8.372530188E2,-1.590644055E2
8.291666667E-1,8.285561521E2,-1.592862666E2
8.333333333E-1,8.201503939E2,-1.593837020E2
8.375000000E-1,8.114411058E2,-1.593779773E2
8.416666667E-1,8.030858009E2,-1.596723137E2
8.458333333E-1,7.943010225E2,-1.599961899E2
8.500000000E-1,7.859464429E2,-1.604538470E2
8.541666667E-1,7.771649888E2,-1.604460663E2
8.583333333E-1,7.687617656E2,-1.608517142E2
8.625000000E-1,7.599237229E2,-1.607881872E2
8.666666667E-1,7.515389683E2,-1.612418840E2
8.708333333E-1,7.427514240E2,-1.610613701E2
8.750000000E-1,7.345059750E2,-1.614529758E2
8.791666667E-1,7.255994261E2,-1.615375764E2
8.833333333E-1,7.176970176E2,-1.621866122E2
8.875000000E-1,7.088559766E2,-1.620332809E2
8.916666667E-1,7.006660694E2,-1.625403253E2
8.958333333E-1,6.920845204E2,-1.627599324E2
