t,x,y
1.117500000E1,1.307762032E3,-1.195406233E2
1.117916667E1,1.312358738E3,-1.185427627E2
1.118333333E1,1.317034384E3,-1.178139191E2
1.118750000E1,1.321574202E3,-1.169118137E2
1.119166667E1,1.325674476E3,-1.166724691E2
1.119583333E1,1.329735730E3,-1.155611737E2
1.120000000E1,1.334092371E3,-1.152184784E2
1.120416667E1,1.338018603E3,-1.146327851E2
1.120833333E1,1.342189563E3,-1.142315525E2
1.121250000E1,1.346188789E3,-1.138227810E2
1.121666667E1,1.349956371E3,-1.134564534E2
1.122083333E1,1.353546890E3,-1.131655329E2
1.122500000E1,1.356869397E3,-1.132182285E2
1.122916667E1,1.360160694E3,-1.127363480E2
1.123333333E1,1.363649817E3,-1.128446687E2
1.123750000E1,1.366623326E3,-1.124698344E2
1.124166667E1,1.370062380E3,-1.124484895E2
1.124583333E1,1.373384461E3,-1.119305651E2
1.125000000E1,1.376348675E3,-1.118089382E2
1.125416667E1,1.379080184E3,-1.111705674E2
1.125833333E1,1.382455816E3,-1.109938744E2
1.126250000E1,1.385102769E3,-1.102545269E2
1.126666667E1,1.388335476E3,-1.100078515E2
1.127083333E1,1.390657920E3,-1.092295986E2
1.127500000E1,1.393578059E3,-1.088237220E2
1.127916667E1,1.396074097E3,-1.078308691E2
1.128333333E1,1.398682457E3,-1.077904290E2
1.128750000E1,1.400682742E3,-1.068975274E2
1.129166667E1,1.402898937E3,-1.069662589E2
1.129583333E1,1.405022647E3,-1.060319002E2
1.130000000E1,1.407408416E3,-1.059416703E2
1.130416667E1,1.409108622E3,-1.050810790E2
1.130833333E1,1.411209851E3,-1.052602539E2
1.131250000E1,1.412964083E3,-1.044761106E2
1.131666667E1,1.414629653E3,-1.045655695E2
1.132083333E1,1.415766867E3,-1.038962420E2
1.132500000E1,1.417357103E3,-1.042914998E2
1.132916667E1,1.418644452E3,-1.038519664E2
1.133333333E1,1.419788161E3,-1.040572885E2
1.133750000E1,1.420774745E3,-1.034688758E2
1.134166667E1,1.422021515E3,-1.038208256E2
1.134583333E1,1.422986925E3,-1.033248578E2
1.135000000E1,1.423960777E3,-1.040171023E2
1.135416667E1,1.424919740E3,-1.033920767E2
1.135833333E1,1.426009531E3,-1.039228175E2
1.136250000E1,1.426525980E3,-1.032226593E2
1.136666667E1,1.427170840E3,-1.037388378E2
1.137083333E1,1.427395082E3,-1.032156715E2
1.137500000E1,1.428045750E3,-1.037527854E2
1.137916667E1,1.428493144E3,-1.030243063E2
1.138333333E1,1.428625787E3,-1.035402047E2
1.138750000E1,1.428564189E3,-1.031512250E2
1.139166667E1,1.428557506E3,-1.033379835E2
1.139583333E1,1.428472316E3,-1.031924965E2
1.140000000E1,1.428384732E3,-1.034828758E2
