mass_A
t,x,y
2.000000000E-1,1.603485399E1,-2.787878023E1
2.666666667E-1,1.645078468E1,-4.258002761E1
3.333333333E-1,1.671588872E1,-5.506806655E1
4.000000000E-1,1.691047954E1,-6.237649680E1
4.666666667E-1,1.628620192E1,-6.281091630E1
5.333333333E-1,1.513863507E1,-5.680222899E1
6.000000000E-1,1.404457590E1,-4.563251764E1
6.666666667E-1,1.297736743E1,-3.100870978E1
7.333333333E-1,1.207832409E1,-1.561898579E1
8.000000000E-1,1.129826543E1,-2.087369320E0
8.666666667E-1,1.067234634E1,6.517544990E0
9.333333333E-1,1.019616970E1,9.071519959E0
1.000000000E0,9.958356449E0,4.961327871E0
1.066666667E0,1.011385341E1,-4.809711040E0
1.133333333E0,1.094282996E1,-1.900466350E1
1.200000000E0,1.192933071E1,-3.476890321E1
1.266666667E0,1.309448813E1,-4.879855116E1
1.333333333E0,1.410620344E1,-5.872637291E1
1.400000000E0,1.505461465E1,-6.340034747E1
1.466666667E0,1.580214494E1,-6.157503847E1
1.533333333E0,1.641465756E1,-5.270206614E1
1.600000000E0,1.696380633E1,-3.970471132E1
1.666666667E0,1.702834179E1,-2.440773259E1
1.733333333E0,1.691790757E1,-9.852366300E0
1.800000000E0,1.609027083E1,1.945926754E0
1.866666667E0,1.505214634E1,8.209060125E0
1.933333333E0,1.396974330E1,7.814626701E0
2.000000000E0,1.308881576E1,8.918666601E-1
2.066666667E0,1.230831071E1,-1.077267445E1
2.133333333E0,1.179152809E1,-2.606099169E1
2.200000000E0,1.120147035E1,-4.109539356E1
2.266666667E0,1.086213420E1,-5.402925060E1
2.333333333E0,1.093151095E1,-6.162980058E1
2.400000000E0,1.131069046E1,-6.316699400E1
2.466666667E0,1.206723637E1,-5.857324073E1
2.533333333E0,1.306480698E1,-4.775149837E1
2.600000000E0,1.403062652E1,-3.342905812E1
2.666666667E0,1.490991963E1,-1.811216428E1
2.733333333E0,1.543028621E1,-4.247430603E0
2.800000000E0,1.621224206E1,5.175307385E0
2.866666667E0,1.681985619E1,8.524767872E0
2.933333333E0,1.708052192E1,5.644575434E0
3.000000000E0,1.711379407E1,-3.829187168E0
3.066666667E0,1.677976858E1,-1.735771881E1
3.133333333E0,1.601868183E1,-3.249712429E1
3.200000000E0,1.498200493E1,-4.725494054E1
3.266666667E0,1.400455529E1,-5.837906042E1
3.333333333E0,1.320088571E1,-6.344009595E1
3.400000000E0,1.235689242E1,-6.228448807E1
3.466666667E0,1.143570166E1,-5.478455389E1
3.533333333E0,1.064188144E1,-4.267312261E1
3.600000000E0,1.015584398E1,-2.694661104E1
3.666666667E0,1.031092557E1,-1.203855626E1
3.733333333E0,1.102404637E1,-1.580244099E-1
3.800000000E0,1.180177861E1,6.761066914E0
3.866666667E0,1.286185564E1,7.569128734E0
3.933333333E0,1.357156361E1,1.578246065E0
4.000000000E0,1.479136756E1,-9.745097120E0
4.066666667E0,1.578190643E1,-2.445096563E1
4.133333333E0,1.672889440E1,-3.977698207E1
4.200000000E0,1.719688314E1,-5.284319768E1
4.266666667E0,1.736611488E1,-6.148007469E1
4.333333333E0,1.702310194E1,-6.373320624E1
4.400000000E0,1.618654609E1,-5.962619363E1
4.466666667E0,1.509116350E1,-4.988869345E1
4.533333333E0,1.405504149E1,-3.596142385E1
4.600000000E0,1.314243176E1,-2.038911150E1
4.666666667E0,1.221798481E1,-6.282245878E0
4.733333333E0,1.135809525E1,3.784152758E0
4.800000000E0,1.060909855E1,7.893555143E0
