t,x,y
1.116666667E0,7.648427524E1,1.362504685E2
1.125000000E0,7.469486376E1,1.367751071E2
1.133333333E0,7.281218931E1,1.372520899E2
1.141666667E0,7.177091565E1,1.377397828E2
1.150000000E0,7.057527528E1,1.383307442E2
1.158333333E0,6.998187362E1,1.388966532E2
1.166666667E0,6.928346251E1,1.393832152E2
1.175000000E0,6.934257049E1,1.393306356E2
1.183333333E0,6.937374219E1,1.393205731E2
1.191666667E0,6.921929454E1,1.397711682E2
1.200000000E0,6.925800088E1,1.399528183E2
1.208333333E0,6.952643410E1,1.399052292E2
1.216666667E0,7.020490307E1,1.400261979E2
1.225000000E0,7.157602617E1,1.395295876E2
1.233333333E0,7.331201099E1,1.392792902E2
1.241666667E0,7.568175293E1,1.384911626E2
1.250000000E0,7.823050695E1,1.384432925E2
1.258333333E0,8.208816633E1,1.372188814E2
1.266666667E0,8.490948177E1,1.369755040E2
1.275000000E0,8.870280635E1,1.366989127E2
1.283333333E0,9.253411312E1,1.363359130E2
1.291666667E0,9.676410963E1,1.355558300E2
1.300000000E0,1.003493731E2,1.353466475E2
1.308333333E0,1.049882986E2,1.346181130E2
1.316666667E0,1.086929123E2,1.341830627E2
1.325000000E0,1.128674683E2,1.329557939E2
1.333333333E0,1.169566871E2,1.325379088E2
1.341666667E0,1.221900025E2,1.312452397E2
1.350000000E0,1.268881976E2,1.308335050E2
1.358333333E0,1.269245345E2,1.308518824E2
1.366666667E0,1.323592768E2,1.304003956E2
1.375000000E0,1.384011380E2,1.293414080E2
1.383333333E0,1.452064371E2,1.286038778E2
1.391666667E0,1.519010992E2,1.273668631E2
1.400000000E0,1.585976100E2,1.269777215E2
1.408333333E0,1.659666164E2,1.256041476E2
1.416666667E0,1.733240724E2,1.245082512E2
1.425000000E0,1.807360657E2,1.239282820E2
1.433333333E0,1.888481916E2,1.231360957E2
1.441666667E0,1.969443523E2,1.218578846E2
1.450000000E0,2.047448288E2,1.213205696E2
1.458333333E0,2.130199958E2,1.202283318E2
1.466666667E0,2.226131647E2,1.190023652E2
1.475000000E0,2.307720760E2,1.179725007E2
1.483333333E0,2.409081005E2,1.170767143E2
1.491666667E0,2.505564512E2,1.156306549E2
1.500000000E0,2.605025705E2,1.142469306E2
1.508333333E0,2.706638932E2,1.127478731E2
1.516666667E0,2.810977636E2,1.117584748E2
